FALL,step,search,,NON,step,search,,SPRING,step,search
11/4/16 0:00,2339,55,,12/16/16 23:00,1115,0,,1/25/17 23:00,14227,27
11/5/16 0:00,330,30,,12/17/16 23:00,4144,0,,1/26/17 23:00,12558,25
11/6/16 0:00,585,50,,12/18/16 23:00,1922,0,,1/27/17 23:00,8634,32
11/6/16 23:00,7539,46,,12/19/16 23:00,2350,0,,1/28/17 23:00,344,22
11/7/16 23:00,7057,31,,12/20/16 23:00,7108,0,,1/29/17 23:00,6713,8
11/8/16 23:00,669,18,,12/21/16 23:00,2121,0,,1/30/17 23:00,12449,17
11/9/16 23:00,7860,38,,12/22/16 23:00,2864,0,,1/31/17 23:00,6464,10
11/10/16 23:00,8651,13,,12/23/16 23:00,8558,0,,2/1/17 23:00,8962,6
11/11/16 23:00,10418,30,,12/24/16 23:00,2499,0,,2/2/17 23:00,1566,17
11/12/16 23:00,516,38,,12/25/16 23:00,1925,0,,2/3/17 23:00,9639,24
11/13/16 23:00,9337,21,,12/26/16 23:00,2278,0,,2/4/17 23:00,611,22
11/14/16 23:00,8233,26,,12/27/16 23:00,1989,0,,2/5/17 23:00,8158,39
11/15/16 23:00,440,20,,12/28/16 23:00,1273,0,,2/6/17 23:00,10096,0
11/16/16 23:00,9674,41,,12/29/16 23:00,3139,0,,2/7/17 23:00,8180,19
11/17/16 23:00,8393,67,,12/30/16 23:00,8514,0,,2/8/17 23:00,3774,47
11/18/16 23:00,6277,28,,12/31/16 23:00,1171,0,,2/9/17 23:00,10384,29
11/19/16 23:00,4773,20,,1/1/17 23:00,3761,0,,2/10/17 23:00,3658,31
11/20/16 23:00,6533,28,,1/2/17 23:00,7323,0,,2/11/17 23:00,538,21
11/21/16 23:00,9320,31,,1/3/17 23:00,10447,16,,2/12/17 23:00,8893,42
11/22/16 23:00,527,128,,1/4/17 23:00,3100,2,,2/13/17 23:00,10762,20
11/23/16 23:00,20837,24,,1/5/17 23:00,2470,0,,2/14/17 23:00,7371,17
11/24/16 23:00,213,44,,1/6/17 23:00,1365,0,,2/15/17 23:00,11804,6
11/25/16 23:00,9090,21,,1/7/17 23:00,1729,22,,2/16/17 23:00,5738,73
11/26/16 23:00,5133,0,,1/8/17 23:00,1642,19,,2/17/17 23:00,10278,73
11/27/16 23:00,9388,16,,1/9/17 23:00,1546,13,,2/18/17 23:00,8025,15
11/28/16 23:00,9021,20,,1/10/17 23:00,1844,35,,2/19/17 23:00,830,34
11/29/16 23:00,808,58,,1/11/17 23:00,1224,15,,2/20/17 23:00,537,52
11/30/16 23:00,7784,13,,1/12/17 23:00,2727,14,,2/21/17 23:00,741,62
12/1/16 23:00,11458,22,,1/13/17 23:00,4046,8,,2/22/17 23:00,8444,33
12/2/16 23:00,174,55,,1/14/17 23:00,1941,11,,2/23/17 23:00,12098,28
12/3/16 23:00,4765,28,,1/15/17 23:00,2693,12,,2/24/17 23:00,6729,11
12/4/16 23:00,11015,22,,1/16/17 23:00,7181,5,,2/25/17 23:00,1876,47
12/5/16 23:00,101,41,,1/17/17 23:00,4964,6,,2/26/17 23:00,9669,9
12/6/16 23:00,16792,8,,1/18/17 23:00,3147,7,,2/27/17 23:00,8707,21
12/7/16 23:00,289,11,,1/19/17 23:00,4448,0,,2/28/17 23:00,7562,26
12/8/16 23:00,14200,10,,1/20/17 23:00,2445,0,,3/1/17 23:00,9666,34
12/9/16 23:00,8517,18,,1/21/17 23:00,6198,0,,3/2/17 23:00,2287,21
12/10/16 23:00,3047,7,,1/22/17 23:00,5099,0,,3/3/17 23:00,346,117
12/11/16 23:00,3491,5,,1/23/17 23:00,11756,11,,3/4/17 23:00,6588,32
12/12/16 23:00,8543,0,,1/24/17 23:00,6135,18,,3/5/17 23:00,6818,28
12/13/16 23:00,378,0,,,,,,3/6/17 23:00,10116,30
12/14/16 23:00,7759,0,,,,,,3/7/17 23:00,11782,21
12/15/16 23:00,5309,0,,,,,,3/8/17 23:00,7067,11
,,,,,,,,3/9/17 23:00,8194,3
,,,,,,,,3/10/17 23:00,2755,23
,,,,,,,,3/11/17 23:00,7323,49
,,,,,,,,3/13/17 0:00,6688,20
,,,,,,,,3/14/17 0:00,312,10
,,,,,,,,3/15/17 0:00,9808,23
,,,,,,,,3/16/17 0:00,9179,15
,,,,,,,,3/17/17 0:00,6725,54
,,,,,,,,3/18/17 0:00,8604,14
,,,,,,,,3/19/17 0:00,3727,29
,,,,,,,,3/20/17 0:00,6766,23
,,,,,,,,,,
AVERAGES,6223,27,,,3805,5,,,6885,28
